srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
f4:f2:6d:57:79:8e,44:07:0b:e2:3f:f1,0x0800,*,www.gstatic.com,*,6,443,*,750,*,*,292785,246
f4:f2:6d:57:79:8e,44:07:0b:e2:3f:f1,0x0800,*,mtalk.google.com,*,6,5228,*,750,*,*,17610,55
f4:f2:6d:57:79:8e,44:07:0b:e2:3f:f1,0x0800,*,android.clients.google.com|tools.google.com,*,6,443,*,750,*,*,4887,10
f4:f2:6d:57:79:8e,44:07:0b:e2:3f:f1,0x0800,*,android.clients.google.com,*,6,443,*,750,*,*,13127,59
f4:f2:6d:57:79:8e,44:07:0b:e2:3f:f1,0x0800,*,clients1.google.com|clients4.google.com|clients3.google.com,*,6,443,*,750,*,*,314194,396
f4:f2:6d:57:79:8e,44:07:0b:e2:3f:f1,0x0800,*,connectivitycheck.gstatic.com,*,6,443,*,750,*,*,7847,43
f4:f2:6d:57:79:8e,44:07:0b:e2:3f:f1,0x0800,*,www.gstatic.com,*,6,80,*,750,*,*,355,4
f4:f2:6d:57:79:8e,44:07:0b:e2:3f:f1,0x0800,*,clients1.google.com|clients4.google.com|clients3.google.com,*,6,80,*,750,*,*,355,4
f4:f2:6d:57:79:8e,44:07:0b:e2:3f:f1,0x0800,*,66.102.1.188,*,6,*,48758,710,*,*,534,6
f4:f2:6d:57:79:8e,44:07:0b:e2:3f:f1,0x0800,*,*,*,17,*,*,700,*,*,0,0
f4:f2:6d:57:79:8e,44:07:0b:e2:3f:f1,0x0800,*,*,*,6,*,*,700,*,*,0,0
44:07:0b:e2:3f:f1,*,0x888e,*,*,*,*,*,*,650,*,*,631,5
*,44:07:0b:e2:3f:f1,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,44:07:0b:e2:3f:f1,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,44:07:0b:e2:3f:f1,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,44:07:0b:e2:3f:f1,0x0800,*,*,*,6,*,*,600,*,*,0,0
